id_jogo,data,status,adversario,mando,gols_nautico,gols_adversario,resultado,estadio,cidade,posse_nautico,finalizacoes_nautico,chutes_alvo_nautico,chutes_fora_nautico,chutes_bloqueados_nautico,chutes_area_nautico,chutes_fora_area_nautico,escanteios_nautico,faltas_nautico,impedimentos_nautico,passes_nautico,passes_certos_nautico,amarelos_nautico,vermelhos_nautico,defesas_nautico,posse_adversario,finalizacoes_adversario,chutes_alvo_adversario,escanteios_adversario,faltas_adversario,passes_adversario,passes_certos_adversario,amarelos_adversario,vermelhos_adversario,aproveitamento_passes_nautico,precisao_finalizacao_nautico,conversao_nautico,aproveitamento_passes_adversario,precisao_finalizacao_adversario,conversao_adversario,gols_1t_nautico,gols_1t_adversario,gols_2t_nautico,gols_2t_adversario,resultado_intervalo
mt_08B3ANN,2026-03-22,finished,Criciuma,Casa,0,1,D,Estádio dos Aflitos,Recife,0.63,2,0,1,1,1.0,1.0,1,2.0,,32.0,23.0,,,,0.37,2,1,0,1.0,19.0,14.0,,,0.7188,0.0,0.0,0.7368,0.5,0.5,0,1,0,0,D
mt_2MV7S6G,2026-04-01,finished,Atletico Goianiense,Fora,2,1,V,Estádio Antonio Accioly,Goiânia,0.51,9,4,4,1,6.0,3.0,1,17.0,4.0,333.0,267.0,4.0,1.0,1.0,0.49,11,2,7,22.0,311.0,247.0,1.0,0.0,0.8018,0.4444,0.2222,0.7942,0.1818,0.0909,0,1,2,0,D
mt_2GJ44YV,2026-04-04,finished,Ponte Preta,Casa,1,0,V,Estádio dos Aflitos,Recife,0.69,23,6,12,5,15.0,8.0,17,14.0,0.0,448.0,387.0,3.0,0.0,3.0,0.31,4,4,3,21.0,206.0,142.0,1.0,2.0,0.8638,0.2609,0.0435,0.6893,1.0,0.0,0,0,1,0,E
mt_1N380XK,2026-04-11,finished,Ceara,Fora,0,1,D,Estádio Castelão,Fortaleza,0.6,15,3,9,3,12.0,3.0,4,15.0,2.0,445.0,382.0,4.0,,4.0,0.4,10,5,3,12.0,301.0,246.0,4.0,,0.8584,0.2,0.0,0.8173,0.5,0.1,0,0,0,1,E
mt_16HWE61,2026-04-18,finished,São Bernardo,Casa,0,3,D,Estádio dos Aflitos,Recife,0.61,18,2,13,3,12.0,6.0,10,15.0,2.0,419.0,355.0,2.0,,2.0,0.39,11,5,2,16.0,286.0,224.0,6.0,,0.8473,0.1111,0.0,0.7832,0.4545,0.2727,0,0,0,3,E
mt_17P0YR9,2026-04-27,finished,Athletic Club,Fora,1,0,V,Estádio do Mineirão,Belo Horizonte,0.46,14,1,6,7,10.0,4.0,4,15.0,3.0,342.0,280.0,4.0,,5.0,0.54,9,5,7,14.0,409.0,341.0,3.0,,0.8187,0.0714,0.0714,0.8337,0.5556,0.0,0,0,1,0,E
mt_104911K,2026-05-02,finished,Botafogo SP,Fora,1,1,E,Estádio Santa Cruz,Ribeirão Preto,0.53,13,3,5,5,7.0,6.0,2,18.0,1.0,321.0,233.0,2.0,,7.0,0.47,10,7,11,18.0,277.0,204.0,2.0,,0.7259,0.2308,0.0769,0.7365,0.7,0.1,0,1,1,0,D
mt_3NXCC54,2026-05-10,finished,America Mineiro,Casa,4,0,V,Estádio dos Aflitos,Recife,0.58,18,6,10,2,7.0,11.0,3,19.0,2.0,423.0,353.0,2.0,0.0,0.0,0.42,5,0,3,16.0,297.0,223.0,3.0,1.0,0.8345,0.3333,0.2222,0.7508,0.0,0.0,2,0,2,0,V
mt_1Q319V4,2026-05-16,finished,Operario-PR,Fora,6,2,V,Estádio Germano Krüger,Ponta Grossa,0.54,18,8,6,4,12.0,6.0,5,18.0,1.0,387.0,309.0,1.0,0.0,5.0,0.46,17,7,7,8.0,323.0,250.0,4.0,1.0,0.7984,0.4444,0.3333,0.774,0.4118,0.1176,2,1,4,1,V
mt_0E6ZDVP,2026-05-22,finished,Cuiaba,Casa,1,0,V,Estádio dos Aflitos,Recife,0.67,10,2,6,2,7.0,3.0,6,16.0,3.0,515.0,426.0,3.0,,2.0,0.33,7,2,1,20.0,259.0,182.0,2.0,,0.8272,0.2,0.1,0.7027,0.2857,0.0,0,0,1,0,E
mt_3YKJDJB,2026-05-30,finished,Sport Recife,Fora,0,2,D,Estádio José do Rego Maciel,Recife,0.6,19,6,8,5,11.0,8.0,8,18.0,1.0,369.0,289.0,3.0,,3.0,0.4,8,5,1,18.0,252.0,177.0,5.0,,0.7832,0.3158,0.0,0.7024,0.625,0.25,0,1,0,1,D
mt_02EH7TV,2026-06-09,finished,Fortaleza EC,Casa,0,1,D,Estádio dos Aflitos,Recife,0.73,31,10,13,8,17.0,14.0,10,6.0,3.0,506.0,464.0,3.0,0.0,1.0,0.27,4,1,4,16.0,192.0,130.0,4.0,2.0,0.917,0.3226,0.0,0.6771,0.25,0.25,0,1,0,0,D
mt_11G6HVT,2026-06-14,finished,Novorizontino,Fora,2,2,E,Estádio Jorge Ismael de Biasi,Novo Horizonte,0.49,12,5,5,2,5.0,7.0,4,21.0,4.0,337.0,262.0,3.0,,5.0,0.51,19,7,5,11.0,335.0,246.0,3.0,,0.7774,0.4167,0.1667,0.7343,0.3684,0.1053,1,0,1,2,V
mt_2DZ2BHE,2026-06-20,finished,Vila Nova,Fora,3,4,D,Estádio Onésio Brasileiro Alvarenga,Goiânia,0.67,20,7,11,2,16.0,4.0,10,12.0,2.0,524.0,441.0,2.0,,2.0,0.33,13,6,2,14.0,264.0,195.0,2.0,,0.8416,0.35,0.15,0.7386,0.4615,0.3077,1,4,2,0,D
mt_0CX797E,2026-06-28,finished,Goias,Casa,0,1,D,Estádio dos Aflitos,Recife,0.62,27,9,11,7,11.0,16.0,6,11.0,0.0,475.0,413.0,1.0,,5.0,0.38,16,6,3,11.0,307.0,228.0,1.0,,0.8695,0.3333,0.0,0.7427,0.375,0.0625,0,1,0,0,D
mt_18XZ9T0,2026-07-05,finished,Juventude,Casa,0,0,E,Estádio dos Aflitos,Recife,0.64,16,3,9,4,7.0,9.0,6,25.0,2.0,403.0,344.0,3.0,,5.0,0.36,11,5,2,15.0,222.0,161.0,2.0,,0.8536,0.1875,0.0,0.7252,0.4545,0.0,0,0,0,0,E
mt_39AAPNH,2026-07-12,finished,Avai,Fora,0,2,D,Estádio da Ressacada,Florianópolis,0.69,16,1,12,3,8.0,8.0,5,12.0,2.0,553.0,479.0,1.0,0.0,1.0,0.31,15,3,6,17.0,257.0,172.0,1.0,1.0,0.8662,0.0625,0.0,0.6693,0.2,0.1333,0,1,0,1,D
mt_2HB6Y0W,2026-07-16,finished,CRB,Fora,1,2,D,Estádio Rei Pelé,Maceió,0.57,6,2,2,2,2.0,4.0,3,12.0,4.0,467.0,385.0,1.0,,6.0,0.43,20,8,4,13.0,360.0,296.0,1.0,,0.8244,0.3333,0.1667,0.8222,0.4,0.1,0,1,1,1,D
mt_0DTWDEY,2026-07-23,finished,Londrina,Casa,2,1,V,Estádio dos Aflitos,Recife,0.52,17,4,8,5,10.0,7.0,8,18.0,2.0,309.0,234.0,4.0,,3.0,0.48,11,4,7,21.0,281.0,217.0,1.0,,0.7573,0.2353,0.1176,0.7722,0.3636,0.0909,1,0,1,1,V
mt_0F3NPWZ,2026-07-26,finished,Criciuma,Fora,0,0,E,Estádio Heriberto Hülse,Criciúma,0.44,12,4,5,3,6.0,6.0,4,18.0,0.0,287.0,186.0,4.0,,5.0,0.56,16,5,7,18.0,355.0,272.0,0.0,,0.6481,0.3333,0.0,0.7662,0.3125,0.0,0,0,0,0,E
mt_1Z5MATK,2026-08-09,finished,Atletico Goianiense,Casa,1,1,E,Estádio dos Aflitos,Recife,0.42,16,5,5,6,11.0,5.0,5,15.0,1.0,278.0,197.0,4.0,,5.0,0.58,17,6,5,15.0,398.0,328.0,2.0,,0.7086,0.3125,0.0625,0.8241,0.3529,0.0588,1,0,0,1,V
mt_2MFX1QD,2026-08-14,finished,Ponte Preta,Fora,1,1,E,Estádio Moisés Lucarelli,Campinas,0.63,14,4,7,3,10.0,4.0,6,17.0,2.0,360.0,269.0,5.0,2.0,5.0,0.37,13,6,6,17.0,214.0,133.0,3.0,0.0,0.7472,0.2857,0.0714,0.6215,0.4615,0.0769,0,1,1,0,D
mt_3TYV3PJ,2026-08-19,finished,Ceara,Casa,1,0,V,Estádio dos Aflitos,Recife,0.51,30,14,9,7,20.0,10.0,9,22.0,1.0,376.0,296.0,6.0,,3.0,0.49,13,4,3,13.0,364.0,268.0,1.0,,0.7872,0.4667,0.0333,0.7363,0.3077,0.0,1,0,0,0,V
mt_3FX5M76,2026-08-23,finished,São Bernardo,Fora,1,1,E,Estádio 1º de Maio,São Bernardo do Campo,0.53,10,2,7,1,6.0,4.0,3,16.0,3.0,477.0,395.0,1.0,,2.0,0.47,15,3,4,13.0,432.0,348.0,0.0,,0.8281,0.2,0.1,0.8056,0.2,0.0667,0,0,1,1,E
mt_1C9K12Q,2026-08-28,finished,Athletic Club,Casa,2,1,V,Estádio dos Aflitos,Recife,0.7,26,9,9,8,15.0,11.0,8,16.0,3.0,537.0,466.0,2.0,0.0,0.0,0.3,6,1,2,13.0,238.0,166.0,1.0,1.0,0.8678,0.3462,0.0769,0.6975,0.1667,0.1667,0,1,2,0,D
mt_28AB1P9,2026-09-03,finished,Botafogo SP,Casa,1,0,V,Estádio dos Aflitos,Recife,0.54,8,4,4,0,,,5,,,,,2.0,0.0,,0.46,11,5,2,,,,2.0,0.0,,0.5,0.125,,0.4545,0.0,0,0,1,0,E
mt_29EZJ7H,2026-09-09,finished,America Mineiro,Fora,1,2,D,Estádio Independência,Belo Horizonte,0.63,19,3,7,9,10.0,9.0,10,14.0,,525.0,449.0,2.0,0.0,4.0,0.37,17,6,5,12.0,313.0,247.0,2.0,0.0,0.8552,0.1579,0.0526,0.7891,0.3529,0.1176,0,2,1,0,D
mt_1XPGC62,2026-09-15,finished,Operario-PR,Casa,3,3,E,Estádio dos Aflitos,Recife,0.51,21,6,11,4,10.0,11.0,4,23.0,1.0,409.0,324.0,2.0,0.0,3.0,0.49,16,6,2,10.0,392.0,322.0,4.0,0.0,0.7922,0.2857,0.1429,0.8214,0.375,0.1875,1,1,2,2,E
